2025-05-30 15:32:43,435 | INFO | access | GET /api/v1/admins/token status=200 duration=7.37ms client=127.0.0.1
2025-05-30 16:06:15,104 | INFO | access | POST /api/v1/auth/login status=200 duration=294.82ms client=127.0.0.1
2025-05-30 16:08:50,309 | INFO | access | POST /api/v1/auth/login status=200 duration=293.72ms client=127.0.0.1
2025-05-30 16:08:52,785 | INFO | access | POST /api/v1/auth/login status=200 duration=268.30ms client=127.0.0.1
2025-05-30 16:08:58,383 | INFO | access | GET /api/v1/admins/token status=200 duration=6.06ms client=127.0.0.1
2025-05-30 16:09:28,816 | INFO | access | GET /api/v1/admins/token status=200 duration=5.31ms client=127.0.0.1
2025-05-30 16:09:41,128 | INFO | access | GET /api/v1/admins/token status=200 duration=5.30ms client=127.0.0.1
2025-05-30 16:09:42,056 | INFO | access | GET /api/v1/admins/token status=200 duration=5.86ms client=127.0.0.1
2025-05-30 16:09:42,879 | INFO | access | GET /api/v1/admins/token status=200 duration=5.48ms client=127.0.0.1
2025-05-30 16:09:43,492 | INFO | access | GET /api/v1/admins/token status=200 duration=6.88ms client=127.0.0.1
2025-05-30 16:10:05,376 | INFO | access | GET /api/v1/admins/token status=200 duration=11.04ms client=127.0.0.1
2025-05-30 16:10:06,669 | INFO | access | GET /api/v1/admins/token status=200 duration=5.28ms client=127.0.0.1
2025-05-30 16:10:10,364 | INFO | access | POST /api/v1/auth/login status=200 duration=297.15ms client=127.0.0.1
2025-05-30 16:10:11,680 | INFO | access | POST /api/v1/auth/login status=200 duration=269.15ms client=127.0.0.1
2025-05-30 16:10:20,584 | INFO | access | GET /api/v1/admins/token status=200 duration=5.70ms client=127.0.0.1
2025-05-30 16:33:35,005 | INFO | access | POST /api/v1/auth/login status=200 duration=306.01ms client=127.0.0.1
2025-05-30 16:33:35,997 | INFO | access | POST /api/v1/auth/login status=200 duration=273.37ms client=127.0.0.1
2025-05-30 16:33:37,053 | INFO | access | POST /api/v1/auth/login status=200 duration=274.48ms client=127.0.0.1
2025-05-30 16:33:41,119 | INFO | access | POST /api/v1/auth/register status=400 duration=11.11ms client=127.0.0.1
2025-05-30 16:33:41,962 | INFO | access | POST /api/v1/auth/register status=400 duration=3.50ms client=127.0.0.1
2025-05-30 16:33:56,490 | INFO | access | POST /api/v1/auth/login status=200 duration=270.41ms client=127.0.0.1
2025-05-30 16:35:32,585 | INFO | access | POST /api/v1/auth/refresh status=200 duration=22.04ms client=127.0.0.1
2025-05-30 16:35:34,169 | INFO | access | POST /api/v1/auth/refresh status=200 duration=13.84ms client=127.0.0.1
2025-05-30 16:35:35,013 | INFO | access | POST /api/v1/auth/refresh status=200 duration=10.35ms client=127.0.0.1
2025-05-30 16:35:35,655 | INFO | access | POST /api/v1/auth/refresh status=200 duration=11.51ms client=127.0.0.1
2025-05-30 16:35:36,204 | INFO | access | POST /api/v1/auth/refresh status=200 duration=13.59ms client=127.0.0.1
2025-05-30 16:35:36,739 | INFO | access | POST /api/v1/auth/refresh status=200 duration=14.88ms client=127.0.0.1
2025-05-30 16:35:37,289 | INFO | access | POST /api/v1/auth/refresh status=200 duration=12.65ms client=127.0.0.1
2025-05-30 16:35:37,686 | INFO | access | POST /api/v1/auth/refresh status=200 duration=12.06ms client=127.0.0.1
2025-05-30 16:35:46,115 | INFO | access | GET /api/v1/admins/token status=200 duration=7.30ms client=127.0.0.1
2025-05-30 16:37:37,799 | INFO | access | POST /api/v1/auth/refresh status=200 duration=11.49ms client=127.0.0.1
2025-05-30 16:37:38,441 | INFO | access | POST /api/v1/auth/refresh status=200 duration=11.85ms client=127.0.0.1
2025-05-30 16:37:39,341 | INFO | access | POST /api/v1/auth/refresh status=200 duration=13.91ms client=127.0.0.1
2025-05-30 16:37:41,048 | INFO | access | POST /api/v1/auth/refresh status=200 duration=10.82ms client=127.0.0.1
2025-05-30 16:37:44,862 | INFO | access | GET /api/v1/admins/token status=200 duration=7.60ms client=127.0.0.1
2025-06-02 11:05:40,865 | INFO | access | POST /api/v1/auth/login status=200 duration=299.74ms client=127.0.0.1
2025-06-02 11:05:45,458 | INFO | access | POST /api/v1/auth/refresh status=401 duration=6.47ms client=127.0.0.1
2025-06-02 11:05:55,761 | INFO | access | POST /api/v1/auth/login status=200 duration=254.66ms client=127.0.0.1
2025-06-02 11:06:00,244 | INFO | access | POST /api/v1/auth/refresh status=401 duration=4.15ms client=127.0.0.1
2025-06-02 11:06:01,423 | INFO | access | POST /api/v1/auth/refresh status=401 duration=3.81ms client=127.0.0.1
2025-06-02 11:06:02,298 | INFO | access | POST /api/v1/auth/refresh status=401 duration=3.67ms client=127.0.0.1
2025-06-02 11:06:05,505 | INFO | access | POST /api/v1/auth/refresh status=401 duration=4.37ms client=127.0.0.1
2025-06-02 11:06:06,658 | INFO | access | POST /api/v1/auth/refresh status=401 duration=5.59ms client=127.0.0.1
2025-06-02 11:08:43,309 | INFO | access | POST /api/v1/auth/refresh status=401 duration=11.49ms client=127.0.0.1
2025-06-02 11:08:48,770 | INFO | access | POST /api/v1/auth/login status=200 duration=297.02ms client=127.0.0.1
2025-06-02 11:10:47,291 | INFO | access | POST /api/v1/auth/login status=200 duration=273.78ms client=127.0.0.1
2025-06-02 11:12:49,319 | INFO | access | POST /api/v1/auth/login status=200 duration=293.92ms client=127.0.0.1
2025-06-02 11:13:01,904 | INFO | access | POST /api/v1/auth/login status=200 duration=272.55ms client=127.0.0.1
2025-06-02 11:17:01,379 | INFO | access | POST /api/v1/auth/login status=200 duration=294.45ms client=127.0.0.1
